Firm,News,Weekend,Swing,Split90,OnDemand,Weekly,Bundle,Qty,Split90_pct,OD_pct,Weekly_pct,Swing_pct,Note
FTMO,restricted funded (2-min); Swing SKU removes it,flatten Friday; Swing SKU holds,"separate 2-Step SKU, ~10–15% premium, 1:30 lev",1-Step included; 2-Step scales — no checkout 90%,no — biweekly,no,Swing is the news+weekend SKU,none published,,,,0.12,"No add-on menu. Swing is a product, not +% toggles."
FundedNext,"funded 5-min window, profits cut to 40%",not on master,not sold,Lifetime 95%: +25% 1-Step / +30% 2-Step & Lite,+5% and includes 95% + 40% consistency,Bi-weekly: +25% 2-Step / +15% Lite (small sizes),addons stack (no save). Double Up +40% = 2nd account 60% off after pass,"Double Up +40% (2nd after funded), not a 4-pack",0.3,0.05,0.25,,On-demand +5% with 95% is a loss-leader. Do not match.
The5ers,allowed (program rules),"included, all programs",included — no SKU,"program ladder (50–100%), not checkout",no — 14-day then biweekly,no,n/a,none published,,,,0.0,"Holding is free. Split is the product, not an add-on."
FundingPips,funded 5-min restriction,master flatten Friday (verify live),not sold,on-demand cycle = 90%; monthly = 100%; weekly = 60%,included as a cycle (consistency),included as a cycle at 60% split,cycle IS the split — not two addons,none published,0.0,0.0,0.0,,No % add-on menu. Shopper picks a cycle. Weekly is a worse split.
E8 Markets,eval free; funded 5-min ban,E8 One allowed; Signature daily flatten,not a toggle,80/90/100 chosen at config; baked into fee,after 14 days + profitable days,no,"config, not a 5% save bundle",none published,,,,,Higher split raises the sticker; % not a separate line.
Alpha Capital,Swing plan; standard restricted,Swing plan holds,separate plan (like FTMO),+~10% of on-demand price (e.g. $18 on $177),"plan variant (On-Demand Pro), not +%",no — biweekly vs on-demand XOR at qualification,"90% is on the on-demand price, not stacked with speed",none published,0.1,,,,"Cheapest published 90% (10%). Speed is a SKU, not 15%."
Goat Funded,CFD allowed (funded profit cap near news on some models),CFD allowed,included on CFD,100% checkout add-on (CFD % unpublished; futures 90% is +20%),2-Step Standard/Pro add-on; GOAT first payout 40% split,no — biweekly default; Instant 10-day,100% and on-demand are separate toggles,none published,0.2,,,0.0,Use +20% as the CFD 100% proxy (futures 90% is +20%). Holding free.
Maven,program-dependent,program-dependent; Swing plan exists,separate plan,core forex 80%; 90% ~10% on some plans (not all),10-business-day default,no,n/a,none published,0.1,,,,"Cheap sticker, 80% default. Do not lead Verodus with 90%."
Hola Prime,program-dependent,program-dependent,not a % addon,cycle: weekly 65% / biweekly 80% / monthly 95%,available on some plans (chosen at checkout),cycle at 65% split,cycle IS the split,none published,0.0,,0.0,,Same idea as FundingPips. Faster cycle = worse split.
FXIFY,included on evals; Instant restricted,included on evals; Instant flatten Friday,included on evals,+20% of evaluation fee,evals first-payout on-demand; Instant 14-day,biweekly +5% (default monthly),"stack, no save (90%+20 and biweekly+5 = +25%)",none published,0.2,,0.05,0.0,"Evals: holding free, 90% is +20%. Instant 90% included."
Instant Funding,addon: Allow major news + weekend holding (one SKU),same addon as news (funded),that bundled addon,Add 10% to profit split (80→90); fee % not on homepage,weekly after 14-day wait on core Instant,included on Instant,news+weekend are one add-on (like Verodus Swing),"PlusPoints 10% back, up to 50% next order — not a 4-pack",0.1,,0.0,,Swing is one toggle. 90% addon named +10pp split; treat fee as ~10%.
Fintokei,allowed,included; ProTrader Swing is a SKU,separate ProTrader Swing SKU (swap-free),SwiftTrader 90% included; ProTrader 80%,instant payout processing (not a +%),no,n/a,none published,0.0,0.0,,,90% and holding are the product. No checkout % menu.
For Traders,eval free; funded 5-min ban,"included, all programs",included,customizer at checkout (higher split = higher fee),Instant scales 10pp per payout to 90%,no,BOGO promos (not a % ladder),BOGO / NEW20 / TRADE15 — not 4-pack 30/35/40,,,,0.0,Holding free. Split is a config slider.
The Funded Trader,program-dependent,program-dependent,not a standard % addon,"up to 95% on some SKUs, not a clean +% line",Knight Pro anytime,every 7 days on some SKUs,n/a,none published,,,,,"SKU mix, not a Verodus-style toggle menu."
City Traders Imperium,program-dependent,program-dependent,not published as +%,80% typical; no 90% add-on on core 2-Step,included on core,no,n/a,none published,,0.0,,,On-demand at 80% is the product.
Funding Traders,not a published checkout addon,not a published checkout addon,none,none published,none published,none published,n/a,none published,,,,,No public add-on menu in the 20-firm CFD set.
Blue Guardian,not a separate toggle,not a separate toggle on Instant (on-demand included),not sold as 12+12,+15% (evals vs 85%; Instant vs 80%),Instant included at 80%; evals 7-day +15%,7-day +15%,90% + 7-day = +25% (save 5pp vs 30%),"1st site code 25%, 2nd 30%, 3rd 35%, 4th 40%; 5th-free on some futures",0.15,0.15,0.15,,Template for Verodus evals. Instant 15% for 90%+OD is insolvent here.
BrightFunded,restricted funded; paid news addon (fee variable),included,holding free; news is extra,+20% of base (e.g. EUR 99 on Saturn 100k EUR 495),no — first payout 30 days then biweekly,+25% of fee (or EUR 25–50 in one guide),"stack, no save; fee-refund addon +10%",none published (codes EARLY25 / BF10),0.2,,0.25,0.0,90% +20% matches FXIFY. Weekly is expensive vs Verodus 6%.
Ment Funding,not a published +%,not a published +%,none,"Forex 75% default, 90% paid addon (fee % unpublished)",14-day cycle,no,n/a,none published,,,,,90% exists; % not on the public CFD help we could pin.
